date,region,product,sales,marketing_spend,revenue
2024-01-01,East,Widget B,274,3049,15717
2024-01-04,West,Widget B,356,6423,23239
2024-01-08,North,Widget D,283,12915,41940
2024-01-12,East,Widget B,221,5548,12289
2024-01-15,East,Widget B,201,4108,8000
2024-01-19,West,Widget D,364,14471,38445
2024-01-23,North,Widget D,423,13282,11715
2024-01-26,North,Widget A,209,8158,24532
2024-01-30,East,Widget E,145,11248,55812
2024-02-03,South,Widget E,282,8400,24368
2024-02-06,East,Widget B,229,4170,24121
2024-02-10,East,Widget E,162,10874,21855
2024-02-14,East,Widget B,367,3255,8000
2024-02-17,East,Widget A,491,2154,8000
2024-02-21,West,Widget D,101,5499,8000
2024-02-25,North,Widget D,317,7295,8000
2024-02-28,West,Widget D,344,7197,31936
2024-03-03,West,Widget E,435,12383,70024
2024-03-07,West,Widget A,436,10888,28103
2024-03-11,East,Widget E,162,13183,20763
2024-03-14,South,Widget E,150,13915,58554
2024-03-18,North,Widget A,162,13874,27020
2024-03-22,South,Widget A,489,2648,8000
2024-03-25,West,Widget A,130,6539,30311
2024-03-29,West,Widget A,236,10637,34749
2024-04-02,South,Widget D,162,5199,8000
2024-04-05,South,Widget C,51,13115,46927
2024-04-09,South,Widget C,179,9445,26916
2024-04-13,West,Widget A,269,12375,71655
2024-04-16,West,Widget C,103,3557,8000
2024-04-20,North,Widget C,392,6592,9370
2024-04-24,North,Widget A,273,1098,8000
2024-04-27,West,Widget C,274,3200,8000
2024-05-01,South,Widget E,434,3961,22798
2024-05-05,South,Widget B,452,5973,8000
2024-05-09,North,Widget B,175,5433,25405
2024-05-12,West,Widget A,179,12969,37272
2024-05-16,North,Widget D,102,3869,25193
2024-05-20,North,Widget A,221,12426,42776
2024-05-23,East,Widget D,712,12983,53220
2024-05-27,East,Widget B,209,1956,8000
2024-05-31,East,Widget A,247,14992,59042
2024-06-03,South,Widget E,465,13259,71363
2024-06-07,West,Widget C,296,9352,21643
2024-06-11,West,Widget D,373,6699,21838
2024-06-14,West,Widget C,488,7944,20510
2024-06-18,West,Widget C,252,5493,43120
2024-06-22,East,Widget A,233,10492,30212
2024-06-25,South,Widget C,172,5911,9698
2024-06-29,South,Widget E,450,4987,8780
2024-07-03,East,Widget C,304,10719,35480
2024-07-07,South,Widget A,343,7015,12649
2024-07-10,East,Widget E,329,14703,45933
2024-07-14,West,Widget B,374,14446,52919
2024-07-18,East,Widget C,421,2218,8000
2024-07-21,West,Widget A,147,5496,31711
2024-07-25,West,Widget B,247,5735,15282
2024-07-29,North,Widget B,444,12296,39966
2024-08-01,East,Widget D,289,11927,45810
2024-08-05,North,Widget E,193,5555,53114
2024-08-09,East,Widget C,146,10146,23696
2024-08-12,East,Widget A,250,9050,60529
2024-08-16,North,Widget D,173,13757,30395
2024-08-20,North,Widget E,236,4446,18995
2024-08-23,East,Widget D,375,2045,8000
2024-08-27,South,Widget E,398,7893,15396
2024-08-31,West,Widget E,308,2693,19911
2024-09-04,North,Widget C,197,4436,24524
2024-09-07,West,Widget E,301,9754,26920
2024-09-11,South,Widget D,492,11677,9462
2024-09-15,South,Widget E,469,6895,17831
2024-09-18,South,Widget C,452,4354,17327
2024-09-22,North,Widget C,395,1225,8000
2024-09-26,South,Widget D,500,5893,31964
2024-09-29,North,Widget B,196,8022,57080
2024-10-03,South,Widget B,197,10151,41736
2024-10-07,West,Widget E,401,6600,31616
2024-10-10,West,Widget A,248,13740,50312
2024-10-14,East,Widget E,357,12259,60493
2024-10-18,West,Widget D,466,8996,39457
2024-10-21,East,Widget D,473,10007,46261
2024-10-25,West,Widget D,177,13946,75000
2024-10-29,North,Widget D,88,8683,33795
2024-11-02,West,Widget D,387,5642,15682
2024-11-05,East,Widget C,409,14503,57454
2024-11-09,East,Widget B,178,12312,60135
2024-11-13,South,Widget D,316,8679,37897
2024-11-16,North,Widget A,490,9208,48137
2024-11-20,West,Widget A,483,8339,19151
2024-11-24,South,Widget A,200,10435,23501
2024-11-27,West,Widget A,464,3205,8000
2024-12-01,West,Widget C,347,11716,21995
2024-12-05,South,Widget A,148,2069,8895
2024-12-08,South,Widget D,312,4444,9103
2024-12-12,South,Widget E,301,11757,59602
2024-12-16,South,Widget A,193,2060,8000
2024-12-19,South,Widget C,395,3327,34968
2024-12-23,West,Widget C,161,4420,8000
2024-12-27,South,Widget A,109,1301,8000
2024-12-31,North,Widget E,418,13468,34768
